,player_number,shoe_size,games_this_season,games_last_season,games_career,times_faced_opponent,bounces_per_bowl,bumper_inflation,win
633,1253955,10,35,40,400,12,5,1000,1
634,1257366,5,5,10,100,4,1,100,0
635,1260659,5,5,40,100,4,1,100,0
636,1268952,12,50,70,800,4,10,1000,1
637,1275807,6,10,40,300,8,2,100,0
638,1277792,6,5,10,100,4,1,100,0
639,1277792,7,5,10,300,4,1,100,0
640,1285722,6,5,10,300,4,1,100,0
641,1288608,5,5,10,100,4,2,100,0
642,1290203,5,5,10,100,4,2,100,0
643,1294413,3,5,10,100,4,1,100,0
644,1299596,4,5,10,100,4,1,100,0
645,1303489,5,5,10,100,4,2,100,0
646,1311033,3,10,20,100,4,1,100,0
647,1311108,3,5,10,300,4,1,100,0
648,1315807,7,50,100,1000,8,10,1000,1
649,1318671,5,5,10,100,4,2,100,0
650,1319609,5,5,10,200,16,1,100,0
651,1323477,3,10,10,300,4,2,100,0
652,1324572,7,5,10,100,4,2,200,0
653,1324681,6,5,10,100,4,2,100,0
654,1325159,5,5,10,100,4,3,100,0
655,1326892,5,5,10,100,4,2,100,0
656,1330361,7,5,10,100,4,2,100,0
657,1333877,7,20,50,100,4,3,600,0
658,1334015,9,40,80,700,40,7,200,1
659,1334667,3,5,10,100,4,1,100,0
660,1339781,3,5,10,100,4,2,100,0
661,1339781,6,5,10,100,4,3,100,0
662,13454352,3,5,30,100,4,2,100,0
663,1345452,3,5,30,100,4,2,100,0
664,1345593,5,5,10,300,4,2,100,0
665,1347749,3,5,10,100,4,1,100,0
666,1347943,7,10,20,200,4,1,100,0
667,1348851,5,5,10,100,4,3,100,0
668,1350319,7,35,40,100,4,7,1000,1
669,1350423,7,50,100,800,20,7,1000,1
670,1352848,5,50,70,800,32,7,400,1
671,1353092,5,10,10,200,4,3,100,0
672,1354840,4,5,10,100,4,3,100,0
673,1354840,7,15,20,100,4,1,100,0
674,1355260,3,5,10,100,4,2,100,0
675,1365075,6,5,40,100,4,1,100,0
676,1365328,3,5,20,100,4,2,100,0
677,1368267,7,5,10,100,4,1,100,0
678,1368273,3,5,10,100,4,1,100,0
679,1368882,4,5,10,100,4,1,100,0
680,1369821,12,50,100,1000,40,10,1000,1
681,1371026,7,50,100,1000,40,5,600,1
682,1371920,7,5,10,100,4,3,200,0
683,466906,3,5,10,100,4,1,100,0
684,466906,3,5,10,100,4,1,100,0
685,534555,3,5,10,100,4,1,100,0
686,536708,3,5,10,100,4,1,100,0
687,566346,5,5,10,100,4,2,300,0
688,603148,6,5,10,100,4,1,100,0
689,654546,3,5,10,100,4,1,100,0
690,654546,3,5,10,300,4,1,100,0
691,695091,7,50,100,500,20,4,400,1
692,714039,5,5,10,100,4,1,100,0
693,763235,5,5,10,100,4,2,100,0
694,776715,5,5,10,100,8,1,100,0
695,841769,4,5,10,100,4,1,100,0
696,888820,7,50,100,300,12,8,1000,1
697,897471,6,40,60,400,16,10,600,1
698,897471,6,40,80,500,20,10,400,1
